"","name","league","primary","secondary","tertiary","quaternary","division","location","mascot","sportslogos_name","logo"
"183","Louisiana","ncaa","#CE181E","#0A0203","#C1C5C9","#F18C21","Sunbelt","Louisiana",NA,"Louisiana Ragin Cajuns","http://content.sportslogos.net/logos/32/732/thumbs/2511.gif"
"184","Louisiana Tech Bulldogs","ncaa","#E31B23","#A2AAAD","#111111",NA,"C-USA","Louisiana Tech","Bulldogs","Louisiana Tech Bulldogs","http://content.sportslogos.net/logos/32/731/thumbs/eeb5y75gih97igg7lxvph7v4o.gif"
"185","Louisiana-Monroe","ncaa","#800029","#BD955A","#646469","#DAD86D","Sunbelt","Louisiana-Monroe",NA,"Louisiana-Monroe Warhawks","http://content.sportslogos.net/logos/32/733/thumbs/73372142015.gif"
"186","Louisville Cardinals","ncaa","#AD0000","#000000","#FDB913","#CCCCCC","ACC","Louisville","Cardinals","Louisville Cardinals","http://content.sportslogos.net/logos/32/734/thumbs/73446722007.gif"
"187","Loyola Chicago Ramblers","ncaa","#922247","#FEBD18",NA,NA,"MVC","Loyola","Chicago Ramblers","Loyola Ramblers","http://content.sportslogos.net/logos/32/735/thumbs/73533062012.gif"
"188","LSU","ncaa","#461D7C","#FDD023",NA,NA,"SEC","LSU",NA,"LSU Tigers","http://content.sportslogos.net/logos/32/723/thumbs/72396272014.gif"
"189","Maine Black Bears","ncaa","#003263","#B0D7FF","#AB0634","#908C89","Am. East","Maine","Black Bears","Maine Black Bears","http://content.sportslogos.net/logos/32/738/thumbs/blkfbg8zghmh0m8i7v9lrl5c6.gif"
"190","Manchester City","epl","#98c5e9","#00285e","#f4bc46",NA,NA,"Manchester City",NA,"Manchester City",NA
"191","Manchester United","epl","#da020e","#ffe500","#000000",NA,NA,"Manchester","United","Manchester United",NA
"192","Manhattan","ncaa","#00703C","#FFFFFF",NA,NA,"MAAC","Manhattan",NA,"Manhattan Jaspers","http://content.sportslogos.net/logos/32/739/thumbs/73917732012.gif"
"193","Marist","ncaa","#C8102E","#B2B2B2","#000000",NA,"MAAC","Marist",NA,"Marist Red Foxes","http://content.sportslogos.net/logos/32/740/thumbs/x8kgikten7tgkyx12bgfx1f9f.gif"
"194","Marquette Golden Eagles","ncaa","#003366","#FFCC00",NA,NA,"Big East","Marquette","Golden Eagles","Marquette Golden Eagles","http://content.sportslogos.net/logos/32/741/thumbs/lk47sf36h6g3y141mktt.gif"
"195","Marshall Thundering Herd","ncaa","#00B140","#A2AAAD","#693F23","#AD7C59","C-USA","Marshall","Thundering Herd","Marshall Thundering Herd","http://content.sportslogos.net/logos/32/742/thumbs/2529.gif"
"196","Maryland","ncaa","#E03A3E","#FFD520","#FFFFFF","#000000","Big 10","Maryland",NA,"Maryland Terrapins","http://content.sportslogos.net/logos/32/743/thumbs/74354442012.gif"
"197","Massachusetts","ncaa","#971B2F","#572932","#B1B3B3","#000000","A-10","Massachusetts",NA,"Massachusetts Minutemen","http://content.sportslogos.net/logos/32/887/thumbs/88759612012.gif"
"198","Memphis Grizzlies","nba","#0f586c","#7399c6","#bed4e9","#fdb927","Southwest","Memphis","Grizzlies","Memphis Grizzlies","http://content.sportslogos.net/logos/6/231/thumbs/23143732019.gif"
"199","Memphis Tigers","ncaa","#003087","#898D8D",NA,NA,"AAC","Memphis","Tigers","Memphis Tigers","http://content.sportslogos.net/logos/32/746/thumbs/pep4eclqlq0phflhok70y3u41.gif"
"200","Miami (FL)","ncaa","#F47321","#005030","#FFFFFF",NA,"ACC","Miami","(FL)","Miami Hurricanes","http://content.sportslogos.net/logos/32/748/thumbs/2848.gif"
"201","Miami (OH)","ncaa","#B61E2E","#000000",NA,NA,"MAC","Miami","(OH)","Miami (Ohio) Redhawks","http://content.sportslogos.net/logos/32/749/thumbs/74994712014.gif"
"202","Miami Dolphins","nfl","#008e97","#f58220","#005778",NA,"AFC East","Miami","Dolphins","Miami Dolphins","http://content.sportslogos.net/logos/7/150/thumbs/15073062018.gif"
"203","Miami Heat","nba","#98002e","#f9a01b","#061922","#bcbec0","Southeast","Miami","Heat","Miami Heat","http://content.sportslogos.net/logos/6/214/thumbs/burm5gh2wvjti3xhei5h16k8e.gif"
"204","Miami Marlins","mlb","#ff6600","#0077c8","#ffd100","#000000","NL East","Miami","Marlins","Miami Marlins","http://content.sportslogos.net/logos/54/3637/thumbs/363775442019.gif"
"205","Michigan State Spartans","ncaa","#18453B","#FFFFFF",NA,NA,"Big 10","Michigan State","Spartans","Michigan State Spartans","http://content.sportslogos.net/logos/32/751/thumbs/w7n08iftauae3h6rhueh.gif"
"206","Michigan Wolverines","ncaa","#00274C","#FFCB05",NA,NA,"Big 10","Michigan","Wolverines","Michigan Wolverines","http://content.sportslogos.net/logos/32/750/thumbs/75075012012.gif"
"207","Middle Tennessee","ncaa","#0066CC","#69B3E7",NA,NA,"C-USA","Middle Tennessee",NA,"Middle Tennessee Blue Raiders","http://content.sportslogos.net/logos/32/752/thumbs/75235561998.gif"
"208","Milwaukee","ncaa","#FFBD00","#CCCCCC",NA,NA,"Horizon","Milwaukee",NA,"Wisconsin-Milwaukee Panthers","http://content.sportslogos.net/logos/35/915/thumbs/91523812011.gif"
"209","Milwaukee Brewers","mlb","#0a2351","#b6922e",NA,NA,"NL Central","Milwaukee","Brewers","Milwaukee Brewers","http://content.sportslogos.net/logos/54/64/thumbs/6464742020.gif"
"210","Milwaukee Bucks","nba","#00471b","#f0ebd2","#061922","#007dc5","Central","Milwaukee","Bucks","Milwaukee Bucks","http://content.sportslogos.net/logos/6/225/thumbs/22582752016.gif"
"211","Minnesota Golden Gophers","ncaa","#7A0019","#FFCC33",NA,NA,"Big 10","Minnesota","Golden Gophers","Minnesota Golden Gophers","http://content.sportslogos.net/logos/32/753/thumbs/r8cdw98hpgz0sevha7ejthble.gif"
"212","Minnesota Lynx","wnba","#0C2340","#236192","#78BE20","#9EA2A2","Western","Minnesota","Lynx","Minnesota Lynx","http://content.sportslogos.net/logos/16/314/thumbs/31430582018.gif"
"213","Minnesota Timberwolves","nba","#005083","#00a94f","#c4ced3","#ffe600","Northwest","Minnesota","Timberwolves","Minnesota Timberwolves","http://content.sportslogos.net/logos/6/232/thumbs/23296692018.gif"
"214","Minnesota Twins","mlb","#002b5c","#d31145",NA,NA,"AL Central","Minnesota","Twins","Minnesota Twins","http://content.sportslogos.net/logos/53/65/thumbs/peii986yf4l42v3aa3hy0ovlf.gif"
"215","Minnesota United FC","mls","#cfd4d8","#6caddf","#000000",NA,NA,"Minnesota","United FC","Minnesota United FC","http://content.sportslogos.net/logos/9/6288/thumbs/628827592017.gif"
"216","Minnesota Vikings","nfl","#4f2683","#ffc62f","#e9bf9b","#000000","NFC North","Minnesota","Vikings","Minnesota Vikings","http://content.sportslogos.net/logos/7/172/thumbs/17227042013.gif"
"217","Minnesota Wild","nhl","#154734","#ddcba4","#eaaa00","#a6192e","Central","Minnesota","Wild","Minnesota Wild","http://content.sportslogos.net/logos/1/15/thumbs/1588102014.gif"
"218","Mississippi State Bulldogs","ncaa","#660000","#FFFFFF","#CCCCCC","#75787B","SEC","Mississippi State","Bulldogs","Mississippi State Bulldogs","http://content.sportslogos.net/logos/32/755/thumbs/91xsfe9nvvedeghyqi4sx161k.gif"
"219","Missouri State Bears","ncaa","#5E0009","#000000",NA,NA,"MVC","Missouri State","Bears","Missouri State Bears","http://content.sportslogos.net/logos/32/4974/thumbs/497490162006.gif"
"220","Missouri Tigers","ncaa","#000000","#F1B82D",NA,NA,"SEC","Missouri","Tigers","Missouri Tigers","http://content.sportslogos.net/logos/32/757/thumbs/70yox0z4pkkwwedhxgo92kp9f.gif"
"221","Monmouth Hawks","ncaa","#041E42","#53565A",NA,NA,"MAAC","Monmouth","Hawks","Monmouth Hawks","http://content.sportslogos.net/logos/32/758/thumbs/75894422014.gif"
"222","Montana Grizzlies","ncaa","#999999","#999999",NA,NA,"Big Sky","Montana","Grizzlies","Montana Grizzlies","http://content.sportslogos.net/logos/32/759/thumbs/8w2u1hfnzaaqrqh0wy6hmgeh9.gif"
"223","Montana State Bobcats","ncaa","#B9975B","#B9975B",NA,NA,"Big Sky","Montana State","Bobcats","Montana State Bobcats","http://content.sportslogos.net/logos/32/760/thumbs/76067842013.gif"
"224","Montreal Canadiens","nhl","#001e62","#a6192e",NA,NA,"Atlantic","Montreal","Canadiens","Montreal Canadiens","http://content.sportslogos.net/logos/1/16/thumbs/124.gif"
"225","Montreal Impact","mls","#122089","#000000","#7a878f",NA,NA,"Montreal","Impact","Montreal Impact","http://content.sportslogos.net/logos/9/2837/thumbs/ugsnhv0oteegw8sjs3e4wivvg.gif"
"226","Nashville Predators","nhl","#041e42","#ffb81c",NA,NA,"Central","Nashville","Predators","Nashville Predators","http://content.sportslogos.net/logos/1/17/thumbs/lvchw3qfsun2e7oc02kh2zxb6.gif"
"227","Navy","ncaa","#00205B","#C5B783",NA,NA,"Patriot","Navy",NA,"Navy Midshipmen","http://content.sportslogos.net/logos/33/765/thumbs/udqt7nirahbtdehp0gn5pi0f6.gif"
"228","NC State","ncaa","#CC0000","#000000","#FFFFFF",NA,"ACC","NC State",NA,"North Carolina State Wolfpack","http://content.sportslogos.net/logos/33/777/thumbs/77759072006.gif"
"229","Nebraska","ncaa","#E41C38","#5F6A72","#000000",NA,"Big 10","Nebraska",NA,"Nebraska Cornhuskers","http://content.sportslogos.net/logos/33/766/thumbs/u5a0z147qunbzxwnec8ef7bkl.gif"
"230","Nevada","ncaa","#003366","#807F84",NA,NA,"MWC","Nevada",NA,"Nevada Wolf Pack","http://content.sportslogos.net/logos/33/767/thumbs/76753092008.gif"
"231","New England Patriots","nfl","#002244","#c60c30","#b0b7bc","#001532","AFC East","New England","Patriots","New England Patriots","http://content.sportslogos.net/logos/7/151/thumbs/y71myf8mlwlk8lbgagh3fd5e0.gif"
"232","New England Revolution","mls","#0a2141","#d80016","#8a8d8f",NA,NA,"New England","Revolution","New England Revolution","http://content.sportslogos.net/logos/9/327/thumbs/qtfoxrlfgs3gjvif4ao608tia.gif"
"233","New Hampshire Wildcats","ncaa","#041E42","#BBBCBC",NA,NA,"Am. East","New Hampshire","Wildcats","New Hampshire Wildcats","http://content.sportslogos.net/logos/33/768/thumbs/2864.gif"
"234","New Jersey Devils","nhl","#010101","#c8102e",NA,NA,"Metropolitan","New Jersey","Devils","New Jersey Devils","http://content.sportslogos.net/logos/1/18/thumbs/32tfs723a3bes0p0hb4hgcy1u.gif"
"235","New Mexico Lobos","ncaa","#BA0C2F","#A7A8AA","#63666A","#007A86","MWC","New Mexico","Lobos","New Mexico Lobos","http://content.sportslogos.net/logos/33/769/thumbs/ghyb25tvzhogmpe3beytq4wtg.gif"
"236","New Mexico State Aggies","ncaa","#861F41","#97999B","#000000",NA,"WAC","New Mexico State","Aggies","New Mexico State Aggies","http://content.sportslogos.net/logos/33/770/thumbs/77055192007.gif"
"237","New Orleans Pelicans","nba","#002b5c","#e31837","#b4975a",NA,"Southwest","New Orleans","Pelicans","New Orleans Pelicans","http://content.sportslogos.net/logos/6/4962/thumbs/496226812014.gif"
"238","New Orleans Saints","nfl","#9f8958","#000000",NA,NA,"NFC South","New Orleans","Saints","New Orleans Saints","http://content.sportslogos.net/logos/7/175/thumbs/907.gif"
"239","New York City FC","mls","#6caddf","#00285e","#fd4f00",NA,NA,"New York City","FC","New York City FC","http://content.sportslogos.net/logos/9/5119/thumbs/511960002015.gif"
"240","New York Giants","nfl","#0b2265","#a71930","#a5acaf","#012352","NFC East","New York","Giants","New York Giants","http://content.sportslogos.net/logos/7/166/thumbs/919.gif"
"241","New York Islanders","nhl","#003087","#fc4c02",NA,NA,"Metropolitan","New York","Islanders","New York Islanders","http://content.sportslogos.net/logos/1/19/thumbs/1939112018.gif"
"242","New York Jets","nfl","#125740","#000000","#FFFFFF",NA,"AFC East","New York","Jets","New York Jets","http://content.sportslogos.net/logos/7/152/thumbs/15291162019.gif"
"243","New York Knicks","nba","#006bb6","#f58426","#bec0c2","#231f20","Atlantic","New York","Knicks","New York Knicks","http://content.sportslogos.net/logos/6/216/thumbs/2nn48xofg0hms8k326cqdmuis.gif"
"244","New York Liberty","wnba","#6ECEB2","#000000","#FF671F","#003DA5","Eastern","New York","Liberty","New York Liberty","http://content.sportslogos.net/logos/16/309/thumbs/87s4dbwkieyw95ushfw6b3hz6.gif"
"245","New York Mets","mlb","#ff5910","#002d72",NA,NA,"NL East","New York","Mets","New York Mets","http://content.sportslogos.net/logos/54/67/thumbs/m01gfgeorgvbfw15fy04alujm.gif"
"246","New York Rangers","nhl","#0033a0","#c8102e",NA,NA,"Metropolitan","New York","Rangers","New York Rangers","http://content.sportslogos.net/logos/1/20/thumbs/144.gif"
"247","New York Red Bulls","mls","#d50031","#012055","#ffc800","#8a8d8f",NA,"New York","Red Bulls","New York Red Bulls","http://content.sportslogos.net/logos/9/1876/thumbs/i9ni847kriagxdlb7xewa6dl8.gif"
"248","New York Yankees","mlb","#003087","#FFFFFF","#e4002b",NA,"AL East","New York","Yankees","New York Yankees","http://content.sportslogos.net/logos/53/68/thumbs/1256.gif"
"249","Newcastle United","epl","#241f20","#00b8f4","#c3a572",NA,NA,"Newcastle","United","Newcastle United",NA
"250","Niagara Purple Eagles","ncaa","#582C83","#FFFFFF",NA,NA,"MAAC","Niagara","Purple Eagles","Niagara Purple Eagles","http://content.sportslogos.net/logos/33/772/thumbs/oi5inigc39oafmcd7f3fb7bhf.gif"
"251","NJIT","ncaa","#D22630","#071D49","#C1C6C8",NA,"A-Sun","NJIT",NA,"NJIT Highlanders","http://content.sportslogos.net/logos/33/2605/thumbs/2vggzg8fholnbv4umcp5h1459.gif"
"252","North Alabama","ncaa","#46166B","#DB9F11","#5F6062",NA,"A-Sun","North Alabama",NA,"North Alabama Lions","http://content.sportslogos.net/logos/33/4754/thumbs/475436650.gif"
"253","North Carolina","ncaa","#7BAFD4","#FFFFFF","#13294B","#000000","ACC","North Carolina",NA,"North Carolina Tar Heels","http://content.sportslogos.net/logos/33/775/thumbs/77515392015.gif"
"254","North Carolina Courage","nwsl","#01426A","#B3A369","#A50034","#C8C9C7",NA,"North Carolina","Courage","North Carolina Courage","http://content.sportslogos.net/logos/202/6455/thumbs/645532442017.gif"
"255","North Dakota State Bison","ncaa","#0A5640","#FFC72A",NA,NA,"Summit","North Dakota State","Bison","North Dakota State Bison","http://content.sportslogos.net/logos/33/781/thumbs/ffvn0mdlghiy8hegag754ji2l.gif"
"256","North Florida Ospreys","ncaa","#00246B","#D9D9D9",NA,NA,"A-Sun","North Florida","Ospreys","UNF Ospreys","http://content.sportslogos.net/logos/35/4947/thumbs/494770022014.gif"
"257","North Texas Mean Green","ncaa","#00853E","#000000",NA,NA,"C-USA","North Texas","Mean Green","North Texas Mean Green","http://content.sportslogos.net/logos/33/782/thumbs/78267462005.gif"
"258","Northern Arizona Lumberjacks","ncaa","#FFD200","#FBB040",NA,NA,"Big Sky","Northern Arizona","Lumberjacks","Northern Arizona Lumberjacks","http://content.sportslogos.net/logos/33/784/thumbs/78473542014.gif"
"259","Northern Colorado Bears","ncaa","#F6B000","#F6B000",NA,NA,"Big Sky","Northern Colorado","Bears","Northern Colorado Bears","http://content.sportslogos.net/logos/33/4954/thumbs/495432012015.gif"
"260","Northern Illinois Huskies","ncaa","#BA0C2F","#8A8D8F","#000000",NA,"MAC","Northern Illinois","Huskies","Northern Illinois Huskies","http://content.sportslogos.net/logos/33/785/thumbs/2886.gif"
"261","Northern Kentucky Norse","ncaa","#FFC72C","#000000",NA,NA,"Horizon","Northern Kentucky","Norse","Northern Kentucky Norse","http://content.sportslogos.net/logos/33/5047/thumbs/504799312016.gif"
"262","Northwestern Wildcats","ncaa","#4E2A84","#FFFFFF",NA,NA,"Big 10","Northwestern","Wildcats","Northwestern Wildcats","http://content.sportslogos.net/logos/33/787/thumbs/78733582012.gif"
"263","Notre Dame Fighting Irish","ncaa","#0C2340","#C99700","#AE9142","#00843D","ACC","Notre Dame","Fighting Irish","Notre Dame Fighting Irish","http://content.sportslogos.net/logos/33/789/thumbs/h4taj4rqfe7eigc0f2llj59xx.gif"
"264","Oakland Athletics","mlb","#003831","#efb21e",NA,NA,"AL West","Oakland","Athletics","Oakland Athletics","http://content.sportslogos.net/logos/53/69/thumbs/6xk2lpc36146pbg2kydf13e50.gif"
"265","Oakland Golden Grizzlies","ncaa","#B59A57","#000000",NA,NA,"Horizon","Oakland","Golden Grizzlies","Oakland Golden Grizzlies","http://content.sportslogos.net/logos/33/790/thumbs/79046172012.gif"
"266","Oakland Raiders","nfl","#a5acaf","#000000","#a6aeb0",NA,"AFC West","Oakland","Raiders","Oakland Raiders","http://content.sportslogos.net/logos/7/163/thumbs/g9mgk6x3ge26t44cccm9oq1vl.gif"
"267","Ohio Bobcats","ncaa","#00694E","#CDA077",NA,NA,"MAC","Ohio","Bobcats","Ohio Bobcats","http://content.sportslogos.net/logos/33/792/thumbs/4688.gif"
"268","Ohio State","ncaa","#BB0000","#666666",NA,NA,"Big 10","Ohio State",NA,"Ohio State Buckeyes","http://content.sportslogos.net/logos/33/791/thumbs/79176452013.gif"
"269","Oklahoma City Thunder","nba","#007dc3","#f05133","#fdbb30","#002d62","Northwest","Oklahoma City","Thunder","Oklahoma City Thunder","http://content.sportslogos.net/logos/6/2687/thumbs/khmovcnezy06c3nm05ccn0oj2.gif"
"270","Oklahoma Sooners","ncaa","#841617","#FDF9D8",NA,NA,"Big 12","Oklahoma","Sooners","Oklahoma Sooners","http://content.sportslogos.net/logos/33/793/thumbs/f9hclkzyftlynvgb1wgf.gif"
"271","Oklahoma State","ncaa","#FF7300","#000000","#FF9900","#BEBEBE","Big 12","Oklahoma State",NA,"Oklahoma State Cowboys","http://content.sportslogos.net/logos/33/794/thumbs/79478612015.gif"
"272","Old Dominion Monarchs","ncaa","#003057","#92C1E9",NA,NA,"C-USA","Old Dominion","Monarchs","Old Dominion Monarchs","http://content.sportslogos.net/logos/33/795/thumbs/uz5zw5f3gfhh8o9wbeco.gif"
"273","Ole Miss","ncaa","#CE1126","#14213D","#FFFFFF",NA,"SEC","Ole","Miss","Mississippi Rebels","http://content.sportslogos.net/logos/32/754/thumbs/75419761996.gif"
"274","Omaha","ncaa","#000000","#D71920","#636568",NA,"Summit","Omaha",NA,"Nebraska-Omaha Mavericks","http://content.sportslogos.net/logos/33/5049/thumbs/504963202011.gif"
"275","Oral Roberts Golden Eagles","ncaa","#002F60","#C5B783","#A28E2A",NA,"Summit","Oral Roberts","Golden Eagles","Oral Roberts Golden Eagles","http://content.sportslogos.net/logos/33/796/thumbs/79690362017.gif"
"276","Oregon Ducks","ncaa","#154733","#FEE123",NA,NA,"Pac 12","Oregon","Ducks","Oregon Ducks","http://content.sportslogos.net/logos/33/797/thumbs/by8dfvb6j89hs5nrvlb1ibx5e.gif"
"277","Oregon State Beavers","ncaa","#DC4405","#000000","#FFFFFF",NA,"Pac 12","Oregon State","Beavers","Oregon State Beavers","http://content.sportslogos.net/logos/33/798/thumbs/79813572013.gif"
"278","Orlando City SC","mls","#633492","#fde192",NA,NA,NA,"Orlando City","SC","Orlando City SC","http://content.sportslogos.net/logos/9/5135/thumbs/513564862015.gif"
"279","Orlando Magic","nba","#007dc5","#c4ced3","#061922",NA,"Southeast","Orlando","Magic","Orlando Magic","http://content.sportslogos.net/logos/6/217/thumbs/wd9ic7qafgfb0yxs7tem7n5g4.gif"
"280","Orlando Pride","nwsl","#623393","#01A8DF","#FFFFFF",NA,NA,"Orlando","Pride","Orlando Pride","http://content.sportslogos.net/logos/202/5939/thumbs/593987032016.gif"
"281","Ottawa Senators","nhl","#010101","#c8102e","#c69214",NA,"Atlantic","Ottawa","Senators","Ottawa Senators","http://content.sportslogos.net/logos/1/21/thumbs/2bkf2l3xyxi5p0cavbj8.gif"
"282","Pacific","ncaa","#E35205","#231F20","#D86018","#949A90","WCC","Pacific",NA,"Pacific Tigers","http://content.sportslogos.net/logos/33/799/thumbs/79969051999.gif"
"283","Penn","ncaa","#990000","#011F5B",NA,NA,"Ivy","Penn",NA,"Penn Quakers","http://content.sportslogos.net/logos/33/800/thumbs/wt412stspwyymg88xe74zav07.gif"
"284","Penn State","ncaa","#093162","#FFFFFF",NA,NA,"Big 10","Penn State",NA,"Penn State Nittany Lions","http://content.sportslogos.net/logos/33/801/thumbs/6g3sx3a2zxgt5z2vb10g.gif"
"285","Pepperdine Waves","ncaa","#00205C","#EE7624",NA,NA,"WCC","Pepperdine","Waves","Pepperdine Waves","http://content.sportslogos.net/logos/33/802/thumbs/80222642010.gif"
"286","Philadelphia 76ers","nba","#ed174c","#006bb6","#002b5c","#c4ced3","Atlantic","Philadelphia","76ers","Philadelphia 76ers","http://content.sportslogos.net/logos/6/218/thumbs/21870342016.gif"
"287","Philadelphia Eagles","nfl","#004953","#a5acaf","#acc0c6","#000000","NFC East","Philadelphia","Eagles","Philadelphia Eagles","http://content.sportslogos.net/logos/7/167/thumbs/960.gif"
"288","Philadelphia Flyers","nhl","#010101","#fa4616",NA,NA,"Metropolitan","Philadelphia","Flyers","Philadelphia Flyers","http://content.sportslogos.net/logos/1/22/thumbs/161.gif"
"289","Philadelphia Phillies","mlb","#284898","#e81828",NA,NA,"NL East","Philadelphia","Phillies","Philadelphia Phillies","http://content.sportslogos.net/logos/54/70/thumbs/7075792019.gif"
"290","Philadelphia Union","mls","#002d55","#5090cd","#b38707","#b49759",NA,"Philadelphia","Union","Philadelphia Union","http://content.sportslogos.net/logos/9/2761/thumbs/276142122018.gif"
"291","Phoenix Mercury","wnba","#201747","#CB6015","#B1B3B3","#000000","Western","Phoenix","Mercury","Phoenix Mercury","http://content.sportslogos.net/logos/16/310/thumbs/h01jek5lfu6gp1s9ovvy3qxre.gif"
"292","Phoenix Suns","nba","#e56020","#1d1160","#63717a","#f9a01b","Pacific","Phoenix","Suns","Phoenix Suns","http://content.sportslogos.net/logos/6/238/thumbs/23843702014.gif"
"293","Pittsburgh Panthers","ncaa","#1C2957","#CDB87D",NA,NA,"ACC","Pittsburgh","Panthers","Pittsburgh Panthers","http://content.sportslogos.net/logos/33/803/thumbs/80318662016.gif"
"294","Pittsburgh Penguins","nhl","#010101","#ffb81c",NA,NA,"Metropolitan","Pittsburgh","Penguins","Pittsburgh Penguins","http://content.sportslogos.net/logos/1/24/thumbs/2463622017.gif"
"295","Pittsburgh Pirates","mlb","#fdb827","#000000",NA,NA,"NL Central","Pittsburgh","Pirates","Pittsburgh Pirates","http://content.sportslogos.net/logos/54/71/thumbs/7112502014.gif"
"296","Pittsburgh Steelers","nfl","#000000","#ffb612","#c60c30","#00539b","AFC North","Pittsburgh","Steelers","Pittsburgh Steelers","http://content.sportslogos.net/logos/7/156/thumbs/970.gif"
"297","Portland Pilots","ncaa","#1E1656","#5E6A71",NA,NA,"WCC","Portland","Pilots","Portland Pilots","http://content.sportslogos.net/logos/33/804/thumbs/80428142014.gif"
"298","Portland State Vikings","ncaa","#154734","#FFFFFF","#373A36","#2C2A29","Big Sky","Portland State","Vikings","Portland State Vikings","http://content.sportslogos.net/logos/33/805/thumbs/80548492016.gif"
"299","Portland Thorns FC","nwsl","#981D1F","#000000","#074129",NA,NA,"Portland","Thorns FC","Portland Thorns FC","http://content.sportslogos.net/logos/202/5867/thumbs/586758142013.gif"
"300","Portland Timbers","mls","#004812","#ebe72b",NA,NA,NA,"Portland","Timbers","Portland Timbers","http://content.sportslogos.net/logos/9/2836/thumbs/283698422015.gif"
"301","Portland Trail Blazers","nba","#e03a3e","#bac3c9","#061922",NA,"Northwest","Portland","Trail Blazers","Portland Trail Blazers","http://content.sportslogos.net/logos/6/239/thumbs/23997252018.gif"
"302","Princeton Tigers","ncaa","#FF671F","#000000",NA,NA,"Ivy","Princeton","Tigers","Princeton Tigers","http://content.sportslogos.net/logos/33/807/thumbs/4g0k10eeht09gbiaklzg49ah9.gif"
"303","Providence","ncaa","#000000","#8A8D8F","#FFFFFF",NA,"Big East","Providence",NA,"Providence Friars","http://content.sportslogos.net/logos/33/808/thumbs/2etorchfbjqbvgsoiied0rqkf.gif"
"304","Purdue Boilermakers","ncaa","#CEB888","#000000","#9D968D","#373A36","Big 10","Purdue","Boilermakers","Purdue Boilermakers","http://content.sportslogos.net/logos/33/809/thumbs/80966442012.gif"
"305","Purdue Fort Wayne Mastodons","ncaa","#002F6C","#000000","#63666A","#97999B","Summit","Purdue Fort Wayne","Mastodons","Purdue Fort Wayne Mastodons","http://content.sportslogos.net/logos/33/6619/thumbs/661929622018.gif"
"306","Real Salt Lake","mls","#a50531","#013474","#f2d11a",NA,NA,"Real","Salt Lake","Real Salt Lake","http://content.sportslogos.net/logos/9/394/thumbs/39441222010.gif"
"307","Reign FC","nwsl","#0F1F27","#00528C","#7A868C",NA,NA,"Reign","FC","Reign FC","http://content.sportslogos.net/logos/202/5863/thumbs/586371692013.gif"
"308","Rhode Island Rams","ncaa","#68ABE8","#002147",NA,NA,"A-10","Rhode","Island Rams","Rhode Island Rams","http://content.sportslogos.net/logos/33/812/thumbs/81261122010.gif"
"309","Rice Owls","ncaa","#00205B","#C1C6C8",NA,NA,"C-USA","Rice","Owls","Rice Owls","http://content.sportslogos.net/logos/33/813/thumbs/81337422010.gif"
"310","Richmond Spiders","ncaa","#000066","#990000",NA,NA,"A-10","Richmond","Spiders","Richmond Spiders","http://content.sportslogos.net/logos/33/814/thumbs/2588.gif"
"311","Rider Broncs","ncaa","#981E32","#6C6F70",NA,NA,"MAAC","Rider","Broncs","Rider Broncs","http://content.sportslogos.net/logos/33/815/thumbs/81562592007.gif"
"312","Rutgers Scarlet Knights","ncaa","#CC0033","#5F6A72","#000000",NA,"Big 10","Rutgers","Scarlet Knights","Rutgers Scarlet Knights","http://content.sportslogos.net/logos/33/817/thumbs/j9mxrf2bfzasqkq3by70.gif"
"313","Sacramento Kings","nba","#724c9f","#8e9090","#061922",NA,"Pacific","Sacramento","Kings","Sacramento Kings","http://content.sportslogos.net/logos/6/240/thumbs/24040432017.gif"
"314","Sacramento State","ncaa","#043927","#C4B581",NA,NA,"Big Sky","Sacramento State",NA,"Sacramento State Hornets","http://content.sportslogos.net/logos/30/629/thumbs/okyaz26kurakymvf0hh42hijj.gif"
"315","Saint Joseph's Hawks","ncaa","#9E1B32","#6C6F70",NA,NA,"A-10","Saint Joseph's","Hawks","St. Joseph's Hawks","http://content.sportslogos.net/logos/34/851/thumbs/2604.gif"
"316","Saint Louis Billikens","ncaa","#003DA5","#C8C9C7",NA,NA,"A-10","Saint Louis","Billikens","Saint Louis Billikens","http://content.sportslogos.net/logos/34/822/thumbs/82292312015.gif"
"317","Saint Mary's (CA)","ncaa","#D80024","#06315B",NA,NA,"WCC","Saint Mary's","(CA)","Saint Marys Gaels","http://content.sportslogos.net/logos/34/852/thumbs/mfhe5ysvfgzgt0wxt8hcz89pv.gif"
"318","Saint Peter's Peacocks","ncaa","#003C71","#0072CE","#A59C94","#000000","MAAC","Saint Peter's","Peacocks","Saint Peter's Peacocks","http://content.sportslogos.net/logos/34/853/thumbs/85340372012.gif"
"319","SaintBonaventure","ncaa","#54261A","#FDB726","#BDB6B0",NA,"A-10","SaintBonaventure",NA,"St. Bonaventure Bonnies","http://content.sportslogos.net/logos/34/848/thumbs/2637.gif"
"320","SaintJohn's (NY)","ncaa","#BA0C2F","#041C2C","#A7A8AA",NA,"Big East","SaintJohn's","(NY)","St. John's Red Storm","http://content.sportslogos.net/logos/34/850/thumbs/rutp2cuzhqn5qyjhw790kibvf.gif"
"321","San Antonio Spurs","nba","#bac3c9","#061922",NA,NA,"Southwest","San Antonio","Spurs","San Antonio Spurs","http://content.sportslogos.net/logos/6/233/thumbs/23325472018.gif"
